project_id,bucket_month,event_type,amount
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-05-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_COUNT,4419.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-10-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_COUNT,6078.0
tjebT2TQMaehU8xF6AhwFzT6DSr4wrjoxLh1pE5Q7oo=,2024-10-01 00:00:00.000000 UTC,ISSUE_OPENED,141.0
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,2024-01-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,3.37214852221184e+15
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-11-01 00:00:00.000000 UTC,PULL_REQUEST_REVIEW_COMMENT,326.0
0meRIUEV48cb8Plf7X1knIWJZmcrGA3NY91bcOlUNk8=,2024-04-01 00:00:00.000000 UTC,PULL_REQUEST_MERGED,48.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-05-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,64555953623878152.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-02-01 00:00:00.000000 UTC,PULL_REQUEST_OPENED,326.0
0meRIUEV48cb8Plf7X1knIWJZmcrGA3NY91bcOlUNk8=,2024-11-01 00:00:00.000000 UTC,STARRED,21.0
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,2024-08-01 00:00:00.000000 UTC,FORKED,69.0
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,2024-03-01 00:00:00.000000 UTC,PULL_REQUEST_MERGED,160.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-09-01 00:00:00.000000 UTC,FORKED,182.0
Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,2024-03-01 00:00:00.000000 UTC,ISSUE_CLOSED,304.0
VPRpp_l5T9Eh0u95IqfzUGdh-2DCLEp5TIxDQ8XMWJE=,2024-04-01 00:00:00.000000 UTC,PULL_REQUEST_OPENED,560.0
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,2024-12-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,53390511312833112.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-12-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,6685463035270434.0
r1E7lYltpd3pipZ4-yhn6wABCt0mUfRdjxr208MG5fU=,2024-12-01 00:00:00.000000 UTC,PULL_REQUEST_MERGED,152.0
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,2024-09-01 00:00:00.000000 UTC,ISSUE_OPENED,104.0
-cqm4kiQPXiAI9GserwK_Jf2AF05Ygc5Mcmf6S9igjk=,2024-08-01 00:00:00.000000 UTC,STARRED,348.0
wdBmT3yweChtV4g4qcc1NN1QtfnmMPAuCVxoPkiAowY=,2024-03-01 00:00:00.000000 UTC,ISSUE_COMMENT,140.0
-cqm4kiQPXiAI9GserwK_Jf2AF05Ygc5Mcmf6S9igjk=,2024-12-01 00:00:00.000000 UTC,FORKED,99.0
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,2024-08-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,24216.0
wdBmT3yweChtV4g4qcc1NN1QtfnmMPAuCVxoPkiAowY=,2024-08-01 00:00:00.000000 UTC,ISSUE_COMMENT,510.0
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,2024-07-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,5694.0
9FPohrEjU-h_5BTmL-HBlyLH7f9rLprx2zqBddNDtn0=,2024-04-01 00:00:00.000000 UTC,STARRED,37.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-10-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_COUNT,2178.0
r1E7lYltpd3pipZ4-yhn6wABCt0mUfRdjxr208MG5fU=,2024-01-01 00:00:00.000000 UTC,PULL_REQUEST_CLOSED,780.0
-cqm4kiQPXiAI9GserwK_Jf2AF05Ygc5Mcmf6S9igjk=,2024-02-01 00:00:00.000000 UTC,ISSUE_COMMENT,516.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-09-01 00:00:00.000000 UTC,ISSUE_COMMENT,672.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-03-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,3069633011273127.0
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,2024-04-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,20883.0
VhDGUKAWcJC-2T2YV_HNWy77Ptk64L5sewm6byGKR8A=,2024-01-01 00:00:00.000000 UTC,PULL_REQUEST_CLOSED,42.0
r1E7lYltpd3pipZ4-yhn6wABCt0mUfRdjxr208MG5fU=,2024-11-01 00:00:00.000000 UTC,PULL_REQUEST_OPENED,262.0
r1E7lYltpd3pipZ4-yhn6wABCt0mUfRdjxr208MG5fU=,2024-03-01 00:00:00.000000 UTC,ISSUE_COMMENT,684.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-12-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,1059.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-08-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,3117.0
kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,2024-07-01 00:00:00.000000 UTC,PULL_REQUEST_OPENED,1304.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-07-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_COUNT,4965.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-02-01 00:00:00.000000 UTC,PULL_REQUEST_CLOSED,252.0
